1 CHOD JAN KOWALSKI
CZAS	aX	aY	aZ	1462	0	0	0	
1464	0	0	0	
1467	0	0	0	
1469	16392	2796	-8216	
1472	16524	2172	-8136	
1475	17188	2380	-7732	
1478	17268	2320	-7528	
1481	17728	2556	-7156	
1483	18204	2588	-7160	
1486	18568	2812	-6336	
1489	18888	2464	-5676	
1492	19088	1968	-4836	
1496	18888	1848	-4628	
1499	17992	2388	-4188	
1501	17312	2836	-4048	
1504	16600	3464	-3972	
1507	15940	4376	-3480	
1510	16016	3500	-2896	
1513	15844	3212	-1976	
1515	15648	3576	-2152	
1518	15668	3932	-1512	
1521	15852	3952	-1456	
1582	17804	3668	472	
1584	17860	3884	328	
1587	17872	3592	448	
1590	17800	4024	300	
1593	17740	3936	428	
1595	17904	3960	148	
1598	17876	3844	480	
1601	17880	3876	-16	
1604	17996	4036	176	
1606	17724	3940	36	
1609	17580	3724	-188	
1612	17632	3804	-64	
1615	17308	4068	-492	
1617	17256	4084	-604	
1620	16888	4128	-948	
1624	16876	4192	-988	
1627	16576	4084	-968	
1629	16548	4248	-1052	
1632	16284	4164	-900	
1635	16104	3932	-940	
1638	15900	4156	-780	
1641	15776	4040	-704	
1643	15564	3956	-404	
1646	15188	3988	-500	
1652	14680	3784	-116	
1655	14480	3768	316	
1658	14036	3936	248	
1661	13628	3656	580	
1664	13352	3340	676	
1667	12928	2960	988	
1670	12180	2748	980	
1673	11824	2452	968	
1675	11640	2312	1180	
1678	11444	2184	1356	
1681	11344	2200	1512	
1684	11344	2104	1644	
1686	11360	1852	1808	
1689	11372	2064	1524	
1692	11496	1848	1584	
1695	11736	1864	1372	
1698	11836	1904	1460	
1700	11908	1904	1388	
1703	12056	1872	1404	
1707	12020	2084	1388	
1710	12256	2084	1612	
1713	12296	2196	1672	
1715	12344	2392	1744	
1722	12804	2620	2000	
1724	12752	2560	2340	
1727	12776	2316	2564	
1730	12560	2084	2596	
1733	12468	1964	2668	
1735	12460	1840	2716	
1738	12488	1888	2940	
1741	12608	1952	2832	
1744	12660	2064	2964	
1747	12716	2220	2880	
1750	12820	2280	2904	
1753	12844	2388	2748	
1756	12932	2464	2584	
1759	12900	2452	2480	
1761	12880	2564	2384	
1764	12884	2500	2244	
1767	12716	2496	2196	
1770	12716	2364	2032	
1773	12684	2460	1796	
1775	12548	2328	1692	
1778	12388	2304	1756	
1781	12432	2208	1552	
1784	12644	2324	1412	
1790	12848	2056	832	
1794	12816	2068	776	
1796	12664	2224	796	
1799	12736	2260	956	
1802	12672	2420	1416	
1805	12592	2460	1552	
1807	12420	2488	1940	
1810	12220	2396	2120	
1813	12172	2464	2128	
1816	11996	2444	2456	
1819	12212	2280	2564	
1821	12212	2344	2868	
1824	12592	2268	3308	
1827	12696	2300	3628	
1830	13032	2216	3832	
1833	13236	2208	3992	
1836	13312	2356	4260	
1839	13412	2180	4528	
1842	13564	2260	4768	
1845	13652	2168	5192	
1847	13588	2032	5372	
1850	13952	2096	5552	
1853	14076	2024	5712	
1856	14456	1988	5640	
1862	14956	2132	5420	
1865	15048	2392	4952	
1868	15100	2460	4752	
1870	15176	2552	4568	
1873	15300	2724	4040	
1876	15276	2800	3636	
1880	15396	3080	3192	
1882	15344	2992	3088	
1885	15328	2856	3060	
1888	15460	2764	3196	
1891	15356	2628	3232	
1894	15328	2484	3516	
1896	15388	2460	3488	
1899	15424	2336	3580	
1902	15356	2396	3768	
1905	15608	2344	3320	
1908	15748	2348	3184	
1910	15980	2356	2988	
1913	16400	2432	2740	
1916	16692	2552	2736	
1920	16916	2752	2448	
1922	17000	2964	2144	
1925	17128	3072	1984	
1931	17068	3748	1116	
1934	17148	3888	636	
1937	17092	4004	412	
1940	17148	3876	332	
1943	17472	3820	260	
1945	17788	3744	144	
1948	18204	3644	248	
1951	18632	3636	252	
1953	18880	3744	408	
1956	19352	3904	620	
1959	19516	4372	644	
1963	19912	4492	968	
1965	19876	4536	1268	
1968	19964	4456	1744	
1971	20040	4384	2328	
1974	20100	4184	3060	
1977	20128	3948	4008	
1979	20284	3844	5148	
1982	20160	3348	6220	
1985	20112	3148	7284	
1988	20032	2896	7980	
1991	19948	2564	8684	
1993	19824	2192	9384	
1996	19852	1996	9936	
2002	20292	2324	10696	
2006	20744	2584	10568	
2009	21448	2868	10384	
2012	22216	2992	10044	
2015	23108	2956	9488	
2017	23836	3252	9016	
2020	24588	3612	8384	
2023	24892	3848	7660	
2026	25472	4188	6296	
2029	25896	4432	5160	
2031	25604	5020	4032	
2034	25192	5612	2596	
2037	24876	6120	1688	
2040	24456	6288	1080	
2042	24124	5984	632	
2045	23692	5900	-8	
2049	23068	5768	-472	
2052	22636	5392	-936	
2054	22292	5416	-1224	
2057	21308	6316	-1568	
2060	21052	6540	-1760	
2063	20996	6516	-1780	
2066	20632	5792	-1864	
2072	19700	5208	-1800	
2075	19056	5084	-1776	
2078	18592	4868	-1688	
2081	17992	4780	-1864	
2083	17012	4936	-1928	
2086	16280	4912	-1724	
2089	15932	4696	-1584	
2093	15716	4064	-1184	
2096	15520	3720	-1116	
2098	15464	3644	-1276	
2101	15204	3576	-1148	
2104	15236	3592	-1216	
2107	14852	3632	-1492	
2110	14892	3624	-1764	
2113	14656	3404	-1904	
2115	14508	3440	-2232	
2118	14156	3420	-2504	
2121	14180	3500	-2824	
2124	14312	3532	-2864	
2127	14332	3588	-2624	
2129	14720	3696	-2620	
2132	15016	3640	-2524	
2140	16092	3584	-2072	
2142	16512	3596	-1820	
2145	16812	3624	-1660	
2148	16912	3744	-1456	
2151	17172	3856	-1564	
2154	17296	3912	-1472	
2157	17112	3964	-1216	
2159	16740	4124	-1144	
2162	16568	4452	-1312	
2165	16584	4612	-1192	
2168	16196	4532	-1172	
2171	15896	4688	-552	
2173	15548	4844	-428	
2177	15368	4868	36	
2180	15432	4736	276	
2183	15624	4708	796	
2185	16052	4500	1056	
2188	16308	4424	1540	
2191	16624	4488	1320	
2194	17020	4376	1440	
2197	17588	4416	1148	
2199	17920	4296	1024	
2202	18196	4236	532	
2208	18084	3416	-220	
2211	17844	3104	-740	
2214	17348	2952	-976	
2217	16632	2928	-1204	
2221	16116	2860	-1408	
2223	15560	2500	-1332	
2226	15320	2492	-1192	
2229	15124	2144	-1160	
2232	14784	2020	-1100	
2235	14452	1828	-864	
2237	14224	1872	-832	
2240	14240	1868	-804	
2243	14064	1884	-744	
2246	13928	1984	-936	
2249	13844	1852	-772	
2251	13856	1860	-608	
2254	13780	1844	-432	
2257	13736	1768	-276	
2260	13692	1712	-152	
2263	13636	1612	-28	
2266	13768	1776	0	
2269	13412	1644	16	
2272	13216	1760	-116	
2278	12744	1576	-56	
2281	12596	1804	8	
2283	12384	1680	84	
2286	12112	1696	-208	
2289	12104	1764	16	
2291	11920	1768	-68	
2294	11940	1708	32	
2297	11832	1752	-8	
2300	11748	1600	-56	
2302	11440	1524	-128	
2306	11700	1440	-124	
2309	11552	1340	-80	
2312	11556	1260	-68	
2314	11684	1244	224	
2317	11900	1084	348	
2320	12064	1080	392	
2323	12260	1028	460	
2325	12616	1252	528	
2328	12988	1148	628	
2331	13380	1368	452	
2334	13652	1284	260	
2336	13796	1496	172	
2339	13964	1500	-124	
2342	14224	1440	-112	
2345	14252	1440	-76	
2352	14268	1432	96	
2355	14116	1456	248	
2357	14144	1460	276	
2360	14188	1388	356	
2363	14172	1252	300	
2366	14084	1268	220	
2368	13940	1276	104	
2371	14144	1244	24	
2374	14156	1240	-76	
2377	14116	1140	-320	
2379	14060	1124	-400	
2382	13960	1084	-324	
2385	14092	1148	-332	
2388	14040	1140	-576	
2391	13924	908	-440	
2394	13996	920	-552	
2397	14180	1096	-512	
2400	14300	1172	-504	
2403	14340	1092	-544	
2405	14292	904	-628	
2408	14384	1064	-756	
2411	14284	916	-720	
2414	14340	964	-588	
2416	14456	1128	-576	
2423	14484	1072	-640	
2425	14572	1012	-308	
2428	14696	1116	-596	
2432	14616	1068	-336	
2435	14680	1232	-476	
2438	14948	1156	-168	
2440	15192	1036	-188	
2443	14952	1132	16	
2446	15172	1112	-136	
2449	15412	1412	-40	
2451	15740	1532	-100	
2454	16120	1844	-12	
2457	16372	2108	132	
2460	16920	2272	664	
2462	16876	2104	952	
2465	17436	2228	1480	
2468	17464	2172	1796	
2471	17364	2124	2488	
2473	17392	2296	2828	
2477	17276	2388	2996	
2480	17260	2416	3232	
2483	17084	2540	3376	
2486	17064	2516	3572	
2492	16836	2432	3688	
2495	16880	2168	4100	
2497	16900	2092	3980	
2500	16764	1892	4240	
2503	16640	1680	4260	
2506	16552	1504	4308	
2509	16500	1120	4100	
2511	16520	852	3892	
2514	16364	484	3364	
2518	16388	324	3208	
2521	16392	464	2512	
2523	16328	456	2260	
2526	16432	324	1908	
2529	16840	444	1656	
2532	17224	364	1416	
2534	17640	348	1200	
2537	18100	436	1004	
2540	18468	628	764	
2543	18852	808	760	
2545	19260	916	596	
2548	19780	1092	620	
2551	20192	1204	656	
2553	20424	1160	592	
2556	20704	1124	692	
2560	20968	1008	732	
2566	20912	1148	1024	
2569	20820	1056	1020	
2572	20784	1080	900	
2575	20504	1144	900	
2577	20160	928	808	
2580	20064	1192	452	
2583	19868	1572	232	
2585	19728	1684	276	
2588	19488	1824	172	
2591	19180	1828	492	
2594	18796	1264	624	
2596	18772	1156	1144	
2599	18260	888	1428	
2603	17896	784	1728	
2606	17796	508	1952	
2608	17656	700	2136	
2611	18288	872	2240	
2614	19516	1620	2708	
2617	19752	1720	2992	
2620	20824	1740	3388	
2622	21652	1472	3072	
2625	22316	1588	2972	
2628	23096	1868	2496	
2631	24044	2544	2092	
2637	24324	3412	296	
2640	24148	3616	304	
2642	23832	3544	-76	
2646	23500	3608	-452	
2649	22864	3676	-752	
2652	22632	3556	-1268	
2655	22124	3684	-1920	
2657	21676	3868	-3008	
2660	21028	4112	-3856	
2663	20424	4284	-4936	
2666	20076	4320	-5648	
2669	19944	4232	-6412	
2672	19992	4272	-6784	
2674	20112	4292	-7084	
2677	20208	4368	-7272	
2680	20276	4588	-7884	
2683	20056	4812	-8332	
2686	19884	5000	-8632	
2689	19568	5152	-9148	
2692	19288	4668	-9032	
2695	19156	4244	-9080	
2698	18796	3992	-8992	
2704	18156	3484	-8660	
2707	17636	3116	-7988	
2710	17168	3012	-7556	
2713	16880	2992	-6912	
2716	16572	2848	-6308	
2718	16264	2980	-5552	
2721	16372	2920	-4844	
2724	16432	2996	-4260	
2727	16452	3272	-3384	
2731	16696	3396	-2860	
2734	17004	3940	-2260	
2736	17484	4272	-1592	
2739	17840	4468	-1072	
2742	17856	4952	-952	
2745	18336	5128	-820	
2748	18416	5416	-800	
2750	18344	5716	-788	
2753	18308	5828	-732	
2756	18164	6044	-576	
2759	18068	6260	-376	
2761	17768	6368	-384	
2764	17484	6776	-176	
2767	17428	6896	316	
2774	17628	6876	1204	
2777	18168	5668	2444	
2780	18276	4868	3044	
2783	18428	4636	3256	
2786	18572	4528	3212	
2788	18876	4448	3080	
2791	19208	4492	2476	
2794	19420	4336	2032	
2797	19296	4416	1804	
2799	19392	4656	1228	
2802	19164	4588	1004	
2805	18920	4308	656	
2808	18556	4092	224	
2811	18116	3804	-232	
2813	17756	3764	-784	
2817	17296	3568	-1196	
2820	16804	3632	-1796	
2823	16652	3444	-2048	
2826	16244	3436	-2268	
2828	15960	3792	-2772	
2831	15564	3748	-3188	
2834	15784	3216	-3512	
2837	15580	3160	-3420	
2843	15088	2840	-4012	
2846	14700	2764	-3884	
2849	14476	2732	-3732	
2852	14092	2708	-3524	
2855	13740	2796	-3364	
2857	13280	2660	-3216	
2861	12896	2536	-2856	
2864	12540	2352	-2764	
2867	12308	2188	-2432	
2870	12064	2076	-2008	
2872	11920	1736	-1580	
2875	11788	1456	-1136	
2878	11580	1180	-548	
2881	11372	944	-164	
2884	11120	900	224	
2886	10964	832	672	
2889	10924	788	816	
2892	10916	844	1112	
2895	10736	1036	1228	
2897	10788	1108	1520	
2900	10880	1172	1656	
2904	10760	1256	1552	
2907	10864	1504	1988	
2913	11096	1584	2220	
2916	11216	1716	2216	
2919	11456	1756	2344	
2921	11444	1676	2468	
2924	11544	1688	2556	
2927	11472	1692	2588	
2930	11360	1696	2688	
2933	11300	1680	2476	
2935	11336	1736	2516	
2938	11244	1804	2128	
2941	11436	1860	2152	
2945	11464	2016	1920	
2947	11528	2240	1968	
2950	11624	2392	1512	
2953	11824	2648	1376	
2956	11824	2680	1200	
2959	12064	2668	1600	
2961	11964	2656	1540	
2964	12152	2508	1756	
2967	12040	2344	1944	
2970	12024	2136	2224	
2972	11856	2032	2376	
2975	11636	1860	2448	
2982	11708	1868	2864	
2984	11656	1780	2908	
2988	11728	1980	3076	
2991	11944	1872	3388	
2994	12132	1872	3364	
2997	12276	1872	3516	
2999	12304	1852	3344	
3002	12356	1904	3472	
3005	12588	2092	3444	
3008	12556	2324	3408	
3011	12440	2276	3356	
3013	12452	2364	3440	
3016	12652	2440	3396	
3019	12708	2328	3312	
3022	12812	2464	3192	
3024	12880	2572	3276	
3027	13024	2544	3272	
3031	13100	2544	3368	
3034	13124	2544	3440	
3037	13344	2540	3432	
3039	13568	2556	3372	
3042	13888	2696	3388	
3045	14048	2932	3420	
3048	14104	2992	3188	
3054	14620	3016	3492	
3057	14760	2960	3780	
3060	14960	2896	4316	
3063	14992	2840	4576	
3065	15156	2732	5032	
3068	15404	2600	5632	
3072	15464	2648	6048	
3075	15680	2524	6368	
3077	15868	2568	6480	
3080	15920	2600	6376	
3083	16400	2552	6400	
3086	16384	2700	5980	
3089	16844	2884	5932	
3091	17036	2888	5768	
3094	17212	2964	5556	
3097	17524	2896	5308	
3100	17808	2752	4964	
3102	18040	2744	4760	
3105	17908	3132	4364	
3108	17904	3340	4296	
3111	17968	3264	3856	
3115	18076	3248	3636	
3117	17992	3300	3428	
3124	18280	3484	2380	
3127	18492	3744	1840	
3129	18728	3968	1156	
3132	18888	4036	888	
3135	19180	4456	176	
3138	19236	4716	-196	
3140	19444	4764	16	
3143	19632	4868	208	
3146	19712	4836	396	
3149	19892	4704	896	
3151	19928	4580	1468	
3154	20000	4544	2064	
3158	19844	4448	2548	
3161	20024	4324	3380	
3164	20212	4292	4008	
3166	20236	4128	4892	
3169	19748	3732	6432	
3172	20032	3608	7152	
3175	20120	3740	8188	
3177	20424	3804	8652	
3180	20708	3960	8884	
3183	21212	4032	9012	
3186	22100	4184	9184	
3189	23072	4356	8932	
3195	25660	5104	7412	
3198	26236	5512	5760	
3202	26632	5884	4764	
3204	27004	6284	2944	
3207	26960	6644	1108	
3210	26684	6816	-800	
3213	26292	6980	-2288	
3216	26116	6856	-3588	
3218	25748	6460	-4708	
3221	25428	6340	-5688	
3224	24820	6276	-6220	
3227	24356	6328	-6772	
3230	23816	6524	-7340	
3233	23416	5928	-7748	
3235	23040	5796	-7764	
3238	22644	5708	-8040	
3241	22408	5672	-7744	
3245	21860	5584	-7204	
3248	21468	5544	-6672	
3250	21340	5496	-6052	
3253	20804	5400	-4920	
3256	20352	4936	-3860	
3263	19544	3948	-1096	
3265	19424	3504	56	
3268	19004	3332	784	
3271	18908	3240	588	
3274	18464	2992	1064	
3276	17920	2648	820	
3279	17152	2216	512	
3282	16760	2376	-312	
3286	16180	2392	-1092	
3289	15916	2740	-1692	
3291	15472	3092	-2488	
3294	14988	3748	-3280	
3297	14496	4136	-3884	
3300	13904	4964	-4264	
3303	14280	3876	-3748	
3305	14612	3724	-4260	
3308	15052	3600	-3424	
3311	15704	3524	-3140	
3314	16052	3444	-2632	
3317	16544	3460	-2300	
3320	16900	3456	-2088	
3322	16952	3652	-1764	
3325	16716	3772	-1808	
3333	16500	4340	-1712	
3336	16528	4464	-1580	
3338	16512	4480	-1312	
3341	16300	4556	-936	
3344	16296	4632	-564	
3347	16512	4564	-264	
3350	16052	4420	184	
3352	16028	4380	632	
3355	16016	4412	1004	
3358	15856	4664	936	
3361	16236	4508	1400	
3363	16716	4492	1688	
3366	17300	4444	1516	
3369	17984	4536	1488	
3373	18584	4548	1080	
3375	18788	4624	532	
3378	19352	4152	180	
3381	19228	3436	-492	
3384	18708	3140	-988	
3386	17880	3328	-1668	
3389	17360	3040	-1960	
3392	16480	2868	-2248	
3395	16124	2596	-2392	
3401	14776	2108	-2728	
3404	14312	1840	-2792	
3407	13732	1592	-3012	
3410	13132	1756	-3044	
3414	12700	2368	-3276	
3417	12380	1760	-3304	
3419	12148	1816	-3316	
3422	12212	1816	-3104	
3425	11956	1820	-2960	
3428	11928	2012	-2948	
3431	11988	1996	-3008	
3434	12064	1896	-2852	
3436	12076	1972	-2592	
3439	12068	1956	-2380	
3442	12176	2032	-2464	
3445	12120	1864	-2312	
3448	12200	1880	-2052	
3450	12180	1844	-1700	
3453	12264	1836	-1524	
3457	12060	1884	-1132	
3460	12188	1952	-984	
3463	12336	2004	-320	
3469	12348	2044	-76	
3472	12528	2060	-52	
3475	12560	2200	128	
3477	12568	2260	36	
3480	12384	2280	44	
3483	12364	2328	52	
3486	12228	2364	44	
3488	12032	2260	308	
3491	12072	2276	136	
3494	11844	2248	192	
3496	11988	2252	80	
3500	11944	2200	344	
3503	12136	2160	96	
3506	12064	2188	116	
3508	12460	2112	-92	
3511	12792	2128	-256	
3514	13168	1932	-472	
3517	13180	1772	-692	
3519	13052	1760	-764	
3522	13288	1556	-836	
3525	12896	1460	-660	
